id,facebook_links/0,twitter_links/0,twitter_links/1,twitter_ids/0,twitter_ids/1,checked_link,social_medias,facebook_links/1,facebook_links/2,facebook_links/3,facebook_links/4,facebook_links/5,twitter_links/2,facebook_links/6,twitter_links/3,twitter_links/4,twitter_links/5,twitter_links/6,twitter_links/7,facebook_ids/0,facebook_links/7,facebook_ids/1,twitter_ids/2,twitter_ids/3,facebook_ids/2,twitter_ids/4,twitter_ids/5,twitter_ids/6,twitter_links/8,twitter_links/9,twitter_links/10,twitter_ids/7,facebook_links/8,facebook_ids/3,facebook_links/9,facebook_links/10
1,https://www.facebook.com/aosfatos.org/?fref=ts,https://twitter.com/CarlosBolsonaro/status/1352559051641679872,https://twitter.com/CarlosBolsonaro/status/1352559051641679872,1352559051641679872,1352559051641679872,https://www.aosfatos.org/noticias/e-falso-que-carlos-bolsonaro-ja-tenha-se-vacinado-contra-covid-19/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.facebook.com/aosfatos.org/?fref=ts,,,,,https://www.aosfatos.org/noticias/foto-de-maju-coutinho-na-praia-nao-e-recente-mas-de-maio-de-2019/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que estudo demonstra que vacina contra Covid-19 pode afetar fertilidade masculina&url=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que estudo demonstra que vacina contra Covid-19 pode afetar fertilidade masculina https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/,,,https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/&t=%23Verificamos%3A+%C3%89+falso+que+estudo+demonstra+que+vacina+contra+Covid-19+pode+afetar+fertilidade+masculina,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/&t=%23Verificamos%3A+%C3%89+falso+que+estudo+demonstra+que+vacina+contra+Covid-19+pode+afetar+fertilidade+masculina,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que estudo demonstra que vacina contra Covid-19 pode afetar fertilidade masculina https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-estudo-vacina-fertilidade/,,,,,,,,,,,,,,,,,,,,,,,
4,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que número de mortes no Brasil foi menor em 2020 do que em 2019&url=https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que número de mortes no Brasil foi menor em 2020 do que em 2019 https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,,,https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/&t=%23Verificamos%3A+%C3%89+falso+que+n%C3%BAmero+de+mortes+no+Brasil+foi+menor+em+2020+do+que+em+2019,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/&t=%23Verificamos%3A+%C3%89+falso+que+n%C3%BAmero+de+mortes+no+Brasil+foi+menor+em+2020+do+que+em+2019,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que número de mortes no Brasil foi menor em 2020 do que em 2019 https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,,,,,,,,,,,,,,,,,,,,,,,
5,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: Vídeo viral é retirado de contexto para insinuar que vacinação em Israel é uma ‘farsa’&url=https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Vídeo viral é retirado de contexto para insinuar que vacinação em Israel é uma ‘farsa’ https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,,,https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/&t=%23Verificamos%3A+V%C3%ADdeo+viral+%C3%A9+retirado+de+contexto+para+insinuar+que+vacina%C3%A7%C3%A3o+em+Israel+%C3%A9+uma+%E2%80%98farsa%E2%80%99,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/&t=%23Verificamos%3A+V%C3%ADdeo+viral+%C3%A9+retirado+de+contexto+para+insinuar+que+vacina%C3%A7%C3%A3o+em+Israel+%C3%A9+uma+%E2%80%98farsa%E2%80%99,https://web.facebook.com/ben.benmuvhar/videos/854399092027335/,https://www.facebook.com/help/publisher/182222309230722/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Vídeo viral é retirado de contexto para insinuar que vacinação em Israel é uma ‘farsa’ https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,https://www.facebook.com/revistapiaui,,,,,,,,,,,,,,,,,,,,,,
6,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que vice-presidente eleita dos EUA fingiu tomar vacina contra a Covid-19&url=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que vice-presidente eleita dos EUA fingiu tomar vacina contra a Covid-19 https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/,1344326604550529024,,https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/&t=%23Verificamos%3A+%C3%89+falso+que+vice-presidente+eleita+dos+EUA+fingiu+tomar+vacina+contra+a+Covid-19,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/&t=%23Verificamos%3A+%C3%89+falso+que+vice-presidente+eleita+dos+EUA+fingiu+tomar+vacina+contra+a+Covid-19,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que vice-presidente eleita dos EUA fingiu tomar vacina contra a Covid-19 https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-vice-eua-vacina/,,https://twitter.com/KamalaHarris/status/1344326604550529024,,,,,,,,,,,,,,,,,,,,,
7,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/,"https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É antigo vídeo que mostra Caetano, Bethânia e Regina Casé dançando em uma festa&url=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/","https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É antigo vídeo que mostra Caetano, Bethânia e Regina Casé dançando em uma festa https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/",1346229293643403265,,https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/&t=%23Verificamos%3A+%C3%89+antigo+v%C3%ADdeo+que+mostra+Caetano%2C+Beth%C3%A2nia+e+Regina+Cas%C3%A9+dan%C3%A7ando+em+uma+festa,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/&t=%23Verificamos%3A+%C3%89+antigo+v%C3%ADdeo+que+mostra+Caetano%2C+Beth%C3%A2nia+e+Regina+Cas%C3%A9+dan%C3%A7ando+em+uma+festa,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,"https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É antigo vídeo que mostra Caetano, Bethânia e Regina Casé dançando em uma festa https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-caetano-coronavirus/",,https://twitter.com/hashtag/FAKE?src=hashtag_click,https://twitter.com/hashtag/FakeNews?src=hashtag_click,https://twitter.com/hashtag/FAKE?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/hashtag/FakeNews?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/caetanoveloso/status/1346229293643403265?ref_src=twsrc%5Etfw,,,,,,,,,,,,,,,,,
8,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: Foto de Cristina Kirchner sendo vacinada sem máscara é de 2013&url=https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Foto de Cristina Kirchner sendo vacinada sem máscara é de 2013 https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/,314900979462045696,314900979462045696,https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/&t=%23Verificamos%3A+Foto+de+Cristina+Kirchner+sendo+vacinada+sem+m%C3%A1scara+%C3%A9+de+2013,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/&t=%23Verificamos%3A+Foto+de+Cristina+Kirchner+sendo+vacinada+sem+m%C3%A1scara+%C3%A9+de+2013,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Foto de Cristina Kirchner sendo vacinada sem máscara é de 2013 https://piaui.folha.uol.com.br/lupa/2021/01/04/verificamos-cristina-kirchner-vacina/,,https://twitter.com/CFKArgentina/status/314900979462045696,https://twitter.com/CFKArgentina/status/314900979462045696?ref_src=twsrc%5Etfw,,,,,,,,,,,,,,,,,,,,
9,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: Foto de Renata Vasconcellos sem máscara é de 2013 e não tem relação com Covid-19&url=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Foto de Renata Vasconcellos sem máscara é de 2013 e não tem relação com Covid-19 https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/,,,https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/&t=%23Verificamos%3A+Foto+de+Renata+Vasconcellos+sem+m%C3%A1scara+%C3%A9+de+2013+e+n%C3%A3o+tem+rela%C3%A7%C3%A3o+com+Covid-19,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/&t=%23Verificamos%3A+Foto+de+Renata+Vasconcellos+sem+m%C3%A1scara+%C3%A9+de+2013+e+n%C3%A3o+tem+rela%C3%A7%C3%A3o+com+Covid-19,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Foto de Renata Vasconcellos sem máscara é de 2013 e não tem relação com Covid-19 https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/,,,,,,,,,,,,,,,,,,,,,,,
10,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que os Estados Unidos passaram a recomendar o uso de hidroxicloroquina&url=https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que os Estados Unidos passaram a recomendar o uso de hidroxicloroquina https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/,1352590167220088835,1352590167220088835,https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/&t=%23Verificamos%3A+%C3%89+falso+que+os+Estados+Unidos+passaram+a+recomendar+o+uso+de+hidroxicloroquina,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/&t=%23Verificamos%3A+%C3%89+falso+que+os+Estados+Unidos+passaram+a+recomendar+o+uso+de+hidroxicloroquina,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que os Estados Unidos passaram a recomendar o uso de hidroxicloroquina https://piaui.folha.uol.com.br/lupa/2021/01/22/verificamos-estados-unidos-recomendar-hidroxicloroquina/,,https://twitter.com/onyxlorenzoni/status/1352590167220088835,https://twitter.com/onyxlorenzoni/status/1352590167220088835,,,,,,,,,,,,,,,,,,,,
